Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
002dbbd85ef3fe6a2e7d0754fb9f9a1a,engagement_instruction_1.png,_preview.png,167,337,434,389,52,267,500,600
4546fea5413797d10224198aaa34fe45,engagement_instruction.png,_preview.png,67,389,533,524,135,466,900,600
88d9068b2d0ea2492b160a2e028d3429,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
cd8d3632d222fd9e87e32c9d0ecafdea,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4c0bb312924b2faa49f1eb556a5377ec,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-mouser-user-choice-flight4-aus-nz-cpe-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-engagement-plus-ihop-evergreen-olo-drag-left-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3e46da2a3160460b9be21da8ea0ce68e,engagement_instruction.png,_preview.png,49,50,420,115,65,371,900,600
f033db746b20e747ee528caa07f0b2de,engagement_instruction.png,_preview.png,152,308,481,444,136,329,900,600
adunit-mouser-user-choice-v2-cpe-av-aus-nz-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6e628eb5fafe4a43309363ef8e8efc12,engagement_instruction.png,_preview.png,233,28,593,123,95,360,500,600
b2504a570b6274172b6bd9558118f772,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-yamaha-wolverine-user-choice-cpe-v2-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-en-uae-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
0a18978cdc8b64f900b0db6a297eb99d,engagement_animation_1.png,_preview.png,122,163,180,245,82,58,900,600
adunit-femsa-coca-cola-new-sugar-free-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5dae3772408bcecb586bf62312c13838,engagement_instruction.png,_preview.png,32,390,381,481,91,349,500,600
adunit-nestle-maggi-varieties-bouillon-ar-uae-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
